Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
HSCL,2024-07-29 00:00:00+05:30,428.0,469.9,415.6,467.25,13702440,0.0,0.0
HSCL,2024-08-05 00:00:00+05:30,465.95,491.4,443.9,476.15,10074591,0.0,0.0
HSCL,2024-08-12 00:00:00+05:30,474.0,478.6,441.1,464.9,4894068,0.0,0.0
HSCL,2024-08-19 00:00:00+05:30,467.0,530.0,467.0,527.15,11794498,0.0,0.0
HSCL,2024-08-26 00:00:00+05:30,530.0,539.8,511.0,523.25,9724662,0.0,0.0
HSCL,2024-09-02 00:00:00+05:30,524.3,556.0,520.0,529.8,9607844,0.0,0.0
HSCL,2024-09-09 00:00:00+05:30,522.0,578.5,511.2,573.8,13850792,0.0,0.0
HSCL,2024-09-16 00:00:00+05:30,582.0,688.7,578.15,641.0,28703093,0.0,0.0
HSCL,2024-09-23 00:00:00+05:30,644.05,681.25,636.2,656.95,12045642,0.0,0.0
HSCL,2024-09-30 00:00:00+05:30,657.1,674.0,621.0,634.65,11134451,0.0,0.0
HSCL,2024-10-07 00:00:00+05:30,636.0,645.7,582.25,638.35,9022739,0.0,0.0
HSCL,2024-10-14 00:00:00+05:30,642.1,676.2,601.0,619.95,10528674,0.0,0.0
HSCL,2024-10-21 00:00:00+05:30,621.95,631.95,547.0,552.85,10356507,0.0,0.0
HSCL,2024-10-28 00:00:00+05:30,549.0,580.0,541.55,576.3,3746342,0.0,0.0
HSCL,2024-11-04 00:00:00+05:30,576.85,597.7,550.1,554.1,4334762,0.0,0.0
HSCL,2024-11-11 00:00:00+05:30,550.0,553.0,492.55,497.75,4142193,0.0,0.0
HSCL,2024-11-18 00:00:00+05:30,497.75,514.7,472.0,488.45,3800323,0.0,0.0
HSCL,2024-11-25 00:00:00+05:30,505.0,542.8,487.05,527.1,6040184,0.0,0.0
