Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TI,2022-04-21 00:00:00+05:30,71.65,71.65,68.22,69.21,102081,0.0,0.0
TI,2022-04-22 00:00:00+05:30,69.46,70.21,68.42,70.01,58949,0.0,0.0
TI,2022-04-25 00:00:00+05:30,69.66,70.21,68.71,68.96,79154,0.0,0.0
TI,2022-04-26 00:00:00+05:30,69.71,72.4,68.76,69.96,385936,0.0,0.0
TI,2022-04-27 00:00:00+05:30,70.71,70.91,68.76,69.01,106515,0.0,0.0
TI,2022-04-28 00:00:00+05:30,69.46,70.71,67.67,67.92,149461,0.0,0.0
TI,2022-04-29 00:00:00+05:30,68.71,69.91,67.72,68.12,97416,0.0,0.0
TI,2022-05-02 00:00:00+05:30,67.07,67.92,65.73,66.42,104602,0.0,0.0
TI,2022-05-04 00:00:00+05:30,69.21,69.61,63.39,65.38,178840,0.0,0.0
TI,2022-05-05 00:00:00+05:30,65.23,67.22,65.18,65.48,87603,0.0,0.0
TI,2022-05-06 00:00:00+05:30,63.84,64.63,62.24,62.54,269371,0.0,0.0
TI,2022-05-09 00:00:00+05:30,60.25,62.89,59.45,59.45,209676,0.0,0.0
TI,2022-05-10 00:00:00+05:30,60.75,60.75,56.52,56.81,128706,0.0,0.0
TI,2022-05-11 00:00:00+05:30,56.76,57.31,53.98,54.08,262190,0.0,0.0
TI,2022-05-12 00:00:00+05:30,55.17,55.17,51.39,51.59,422880,0.0,0.0
TI,2022-05-13 00:00:00+05:30,53.28,53.53,51.29,51.59,208798,0.0,0.0
TI,2022-05-16 00:00:00+05:30,51.59,52.98,50.44,52.78,114414,0.0,0.0
TI,2022-05-17 00:00:00+05:30,53.78,55.02,52.73,54.57,272745,0.0,0.0
TI,2022-05-18 00:00:00+05:30,55.77,57.26,55.32,57.26,285164,0.0,0.0
TI,2022-05-19 00:00:00+05:30,57.16,60.1,55.42,60.1,171556,0.0,0.0
TI,2022-05-20 00:00:00+05:30,61.74,63.09,61.69,63.09,28210,0.0,0.0
TI,2022-05-23 00:00:00+05:30,66.23,66.23,66.23,66.23,34937,0.0,0.0
TI,2022-05-24 00:00:00+05:30,69.51,69.51,65.28,69.51,521732,0.0,0.0
TI,2022-05-25 00:00:00+05:30,72.95,72.95,66.13,66.72,773964,0.0,0.0
TI,2022-05-26 00:00:00+05:30,68.57,68.62,63.39,67.07,202808,0.0,0.0
TI,2022-05-27 00:00:00+05:30,69.71,70.16,65.23,66.72,127517,0.0,0.0
TI,2022-05-30 00:00:00+05:30,68.27,70.06,67.37,70.06,131769,0.0,0.0
TI,2022-05-31 00:00:00+05:30,71.5,73.1,69.71,70.26,270924,0.0,0.0
TI,2022-06-01 00:00:00+05:30,71.2,71.65,66.82,67.07,138199,0.0,0.0
TI,2022-06-02 00:00:00+05:30,68.07,70.41,65.63,70.41,165010,0.0,0.0
TI,2022-06-03 00:00:00+05:30,72.6,72.6,67.62,67.97,142608,0.0,0.0
TI,2022-06-06 00:00:00+05:30,68.71,71.35,66.77,71.01,294422,0.0,0.0
TI,2022-06-07 00:00:00+05:30,72.1,72.1,68.76,69.51,210847,0.0,0.0
TI,2022-06-08 00:00:00+05:30,70.41,71.7,68.96,69.86,132850,0.0,0.0
TI,2022-06-09 00:00:00+05:30,71.1,73.35,70.01,73.35,364384,0.0,0.0
TI,2022-06-10 00:00:00+05:30,74.39,76.98,73.1,73.84,553819,0.0,0.0
TI,2022-06-13 00:00:00+05:30,72.9,73.15,70.21,71.1,189918,0.0,0.0
TI,2022-06-14 00:00:00+05:30,71.1,73.2,70.71,71.35,104926,0.0,0.0
TI,2022-06-15 00:00:00+05:30,71.7,72.6,70.01,70.71,89815,0.0,0.0
TI,2022-06-16 00:00:00+05:30,71.6,71.6,67.17,67.17,136195,0.0,0.0
TI,2022-06-17 00:00:00+05:30,64.88,70.51,64.53,69.06,277133,0.0,0.0
TI,2022-06-20 00:00:00+05:30,70.16,71.55,65.63,66.23,186422,0.0,0.0
TI,2022-06-21 00:00:00+05:30,67.52,69.51,66.72,68.02,197523,0.0,0.0
TI,2022-06-22 00:00:00+05:30,68.67,68.67,65.93,66.42,88878,0.0,0.0
TI,2022-06-23 00:00:00+05:30,66.72,68.22,65.83,67.77,82720,0.0,0.0
TI,2022-06-24 00:00:00+05:30,69.16,69.16,67.57,67.97,44604,0.0,0.0
TI,2022-06-27 00:00:00+05:30,69.31,69.31,67.62,68.02,83918,0.0,0.0
TI,2022-06-28 00:00:00+05:30,68.71,68.71,66.37,67.52,136230,0.0,0.0
TI,2022-06-29 00:00:00+05:30,68.42,69.71,67.02,69.16,152116,0.0,0.0
TI,2022-06-30 00:00:00+05:30,68.96,70.31,68.32,69.06,97789,0.0,0.0
TI,2022-07-01 00:00:00+05:30,71.45,72.5,69.71,72.5,489184,0.0,0.0
TI,2022-07-04 00:00:00+05:30,74.49,76.08,73.74,76.08,113599,0.0,0.0
TI,2022-07-05 00:00:00+05:30,79.87,79.87,76.18,77.43,801353,0.0,0.0
TI,2022-07-06 00:00:00+05:30,79.17,81.26,75.79,78.32,384538,0.0,0.0
TI,2022-07-07 00:00:00+05:30,80.17,80.91,76.78,78.52,215188,0.0,0.0
TI,2022-07-08 00:00:00+05:30,78.67,79.62,76.48,77.83,177584,0.0,0.0
TI,2022-07-11 00:00:00+05:30,77.68,81.71,77.68,81.36,644363,0.0,0.0
TI,2022-07-12 00:00:00+05:30,81.26,84.05,80.86,81.86,285470,0.0,0.0
TI,2022-07-13 00:00:00+05:30,84.35,84.35,78.67,79.02,156293,0.0,0.0
TI,2022-07-14 00:00:00+05:30,79.27,79.67,76.83,78.32,80351,0.0,0.0
TI,2022-07-15 00:00:00+05:30,77.73,79.42,77.68,78.52,68828,0.0,0.0
TI,2022-07-18 00:00:00+05:30,78.52,79.67,77.38,78.13,66190,0.0,0.0
TI,2022-07-19 00:00:00+05:30,77.18,80.96,77.18,79.67,146095,0.0,0.0
TI,2022-07-20 00:00:00+05:30,81.11,81.46,76.93,77.73,160458,0.0,0.0
TI,2022-07-21 00:00:00+05:30,79.17,81.36,77.33,80.02,258639,0.0,0.0
TI,2022-07-22 00:00:00+05:30,80.57,82.16,79.27,80.86,209249,0.0,0.0
TI,2022-07-25 00:00:00+05:30,81.16,81.56,77.98,80.52,172475,0.0,0.0
TI,2022-07-26 00:00:00+05:30,80.42,81.16,79.32,79.42,61377,0.0,0.0
TI,2022-07-27 00:00:00+05:30,79.02,80.17,77.63,77.88,68124,0.0,0.0
TI,2022-07-28 00:00:00+05:30,78.67,78.67,75.24,75.89,148761,0.0,0.0
TI,2022-07-29 00:00:00+05:30,77.68,78.77,75.74,77.18,114032,0.0,0.0
TI,2022-08-01 00:00:00+05:30,78.47,80.22,77.03,77.98,268104,0.0,0.0
TI,2022-08-02 00:00:00+05:30,78.18,81.86,77.28,81.86,255137,0.0,0.0
TI,2022-08-03 00:00:00+05:30,83.55,83.55,78.67,79.42,287991,0.0,0.0
TI,2022-08-04 00:00:00+05:30,80.96,83.11,78.72,80.22,332650,0.0,0.0
TI,2022-08-05 00:00:00+05:30,81.11,81.11,78.67,79.12,148996,0.0,0.0
TI,2022-08-08 00:00:00+05:30,81.06,81.06,78.47,79.67,108500,0.0,0.0
TI,2022-08-10 00:00:00+05:30,81.46,81.46,78.77,79.12,68050,0.0,0.0
TI,2022-08-11 00:00:00+05:30,81.06,81.06,78.77,80.12,105098,0.0,0.0
TI,2022-08-12 00:00:00+05:30,78.67,78.67,76.23,77.03,312469,0.0,0.0
TI,2022-08-16 00:00:00+05:30,77.98,77.98,73.35,73.69,260911,0.0,0.0
TI,2022-08-17 00:00:00+05:30,74.64,75.14,71.7,74.19,235372,0.0,0.0
TI,2022-08-18 00:00:00+05:30,74.69,76.18,74.34,75.49,111179,0.0,0.0
TI,2022-08-19 00:00:00+05:30,77.03,77.03,74.79,76.23,162211,0.1,0.0
TI,2022-08-22 00:00:00+05:30,76.48,76.48,74.29,74.84,53751,0.0,0.0
TI,2022-08-23 00:00:00+05:30,74.89,74.99,72.74,73.49,74181,0.0,0.0
TI,2022-08-24 00:00:00+05:30,73.49,75.74,72.15,72.59,75684,0.0,0.0
TI,2022-08-25 00:00:00+05:30,72.84,76.18,72.79,75.99,228365,0.0,0.0
TI,2022-08-26 00:00:00+05:30,76.63,77.98,73.79,75.84,215026,0.0,0.0
TI,2022-08-29 00:00:00+05:30,75.84,76.83,73.44,76.09,121857,0.0,0.0
TI,2022-08-30 00:00:00+05:30,77.98,77.98,75.29,76.43,133566,0.0,0.0
TI,2022-09-01 00:00:00+05:30,77.63,80.22,72.64,78.48,466694,0.0,0.0
TI,2022-09-02 00:00:00+05:30,78.78,81.27,77.93,79.13,186370,0.0,0.0
TI,2022-09-05 00:00:00+05:30,80.72,81.62,76.93,77.68,218181,0.0,0.0
TI,2022-09-06 00:00:00+05:30,79.48,80.67,75.84,77.48,125562,0.0,0.0
TI,2022-09-07 00:00:00+05:30,78.53,78.53,75.54,76.68,119447,0.0,0.0
TI,2022-09-08 00:00:00+05:30,77.63,80.47,75.49,80.02,337369,0.0,0.0
TI,2022-09-09 00:00:00+05:30,83.46,83.46,79.77,81.02,272132,0.0,0.0
TI,2022-09-12 00:00:00+05:30,81.67,82.77,77.13,78.63,160774,0.0,0.0
TI,2022-09-13 00:00:00+05:30,79.72,80.27,78.28,79.63,125613,0.0,0.0
TI,2022-09-14 00:00:00+05:30,79.72,80.17,76.83,78.78,150226,0.0,0.0
TI,2022-09-15 00:00:00+05:30,80.22,82.72,78.68,82.72,405190,0.0,0.0
TI,2022-09-16 00:00:00+05:30,82.77,86.8,82.72,86.71,2267871,0.0,0.0
TI,2022-09-19 00:00:00+05:30,88.15,90.99,87.75,90.99,1273144,0.0,0.0
TI,2022-09-20 00:00:00+05:30,92.14,94.73,88.75,93.54,833005,0.0,0.0
TI,2022-09-21 00:00:00+05:30,94.28,94.73,88.9,88.95,579434,0.0,0.0
TI,2022-09-22 00:00:00+05:30,88.75,93.24,88.3,92.29,369644,0.0,0.0
TI,2022-09-23 00:00:00+05:30,92.74,92.74,89.15,91.09,518218,0.0,0.0
TI,2022-09-26 00:00:00+05:30,90.94,91.74,86.9,88.85,472206,0.0,0.0
TI,2022-09-27 00:00:00+05:30,88.85,93.29,88.15,93.19,646392,0.0,0.0
TI,2022-09-28 00:00:00+05:30,92.54,97.13,88.55,89.25,668746,0.0,0.0
TI,2022-09-29 00:00:00+05:30,89.75,91.39,88.15,90.49,228377,0.0,0.0
TI,2022-09-30 00:00:00+05:30,91.24,93.54,89.2,91.19,171130,0.0,0.0
TI,2022-10-03 00:00:00+05:30,92.39,95.73,89.75,94.88,640850,0.0,0.0
TI,2022-10-04 00:00:00+05:30,97.18,99.62,95.93,99.62,1140089,0.0,0.0
TI,2022-10-06 00:00:00+05:30,101.71,104.55,100.91,104.55,464765,0.0,0.0
TI,2022-10-07 00:00:00+05:30,107.7,109.54,101.86,106.7,1359949,0.0,0.0
TI,2022-10-10 00:00:00+05:30,104.7,107.99,101.36,101.36,534119,0.0,0.0
TI,2022-10-11 00:00:00+05:30,100.17,102.96,96.53,100.07,8563215,0.0,0.0
TI,2022-10-12 00:00:00+05:30,100.91,104.5,97.82,100.52,915254,0.0,0.0
TI,2022-10-13 00:00:00+05:30,101.11,102.91,98.82,100.42,470152,0.0,0.0
TI,2022-10-14 00:00:00+05:30,101.16,102.66,98.87,99.47,276940,0.0,0.0
TI,2022-10-17 00:00:00+05:30,100.57,100.57,95.38,96.28,254044,0.0,0.0
TI,2022-10-18 00:00:00+05:30,96.73,98.57,93.79,97.77,433320,0.0,0.0
TI,2022-10-19 00:00:00+05:30,99.12,99.12,94.98,96.43,170228,0.0,0.0
TI,2022-10-20 00:00:00+05:30,94.83,97.13,93.88,94.43,110404,0.0,0.0
TI,2022-10-21 00:00:00+05:30,95.93,96.28,93.24,94.73,98901,0.0,0.0
TI,2022-10-24 00:00:00+05:30,94.83,97.57,94.73,96.63,109983,0.0,0.0
TI,2022-10-25 00:00:00+05:30,96.73,99.17,93.14,93.69,140263,0.0,0.0
TI,2022-10-27 00:00:00+05:30,93.93,94.98,92.74,93.59,88263,0.0,0.0
TI,2022-10-28 00:00:00+05:30,93.74,95.88,93.74,94.58,81017,0.0,0.0
TI,2022-10-31 00:00:00+05:30,95.73,95.73,91.94,92.54,137523,0.0,0.0
TI,2022-11-01 00:00:00+05:30,93.59,94.98,92.34,92.99,126683,0.0,0.0
TI,2022-11-02 00:00:00+05:30,93.74,93.88,90.59,90.94,259830,0.0,0.0
TI,2022-11-03 00:00:00+05:30,92.14,95.48,91.19,95.48,243295,0.0,0.0
TI,2022-11-04 00:00:00+05:30,99.52,99.52,95.23,95.73,135025,0.0,0.0
TI,2022-11-07 00:00:00+05:30,97.62,99.92,95.73,98.97,359950,0.0,0.0
TI,2022-11-09 00:00:00+05:30,101.61,101.61,97.97,99.62,253067,0.0,0.0
TI,2022-11-10 00:00:00+05:30,100.96,102.71,99.27,101.81,340818,0.0,0.0
TI,2022-11-11 00:00:00+05:30,103.71,103.71,97.82,98.47,307015,0.0,0.0
TI,2022-11-14 00:00:00+05:30,100.62,100.67,96.93,98.07,182771,0.0,0.0
TI,2022-11-15 00:00:00+05:30,96.73,98.67,94.73,96.28,160947,0.0,0.0
TI,2022-11-16 00:00:00+05:30,96.33,98.87,95.33,97.33,120854,0.0,0.0
TI,2022-11-17 00:00:00+05:30,97.33,98.42,95.23,95.63,74941,0.0,0.0
TI,2022-11-18 00:00:00+05:30,95.73,97.08,94.98,95.53,72012,0.0,0.0
TI,2022-11-21 00:00:00+05:30,96.68,97.13,94.23,94.53,99995,0.0,0.0
TI,2022-11-22 00:00:00+05:30,95.58,97.42,93.74,96.23,118692,0.0,0.0
